iter	Passed	Remaining
456	823	978
457	826	977
458	827	974
459	827	971
460	828	968
461	829	965
462	830	963
463	831	960
464	832	957
465	834	956
466	835	954
467	838	953
468	840	951
469	841	948
470	842	945
471	842	942
472	843	939
473	844	937
474	845	934
475	845	931
476	847	928
477	848	926
478	850	924
479	852	923
480	854	921
481	855	919
482	856	916
483	857	913
484	857	910
485	858	908
486	859	905
487	860	902
488	861	900
489	862	897
490	864	895
491	866	894
492	867	892
493	868	889
494	869	887
495	870	884
496	871	881
497	872	879
498	872	876
499	873	873
500	874	871
501	876	869
502	877	866
503	878	864
504	881	864
505	883	863
506	884	860
507	885	858
508	886	855
509	888	853
510	889	851
511	890	849
512	892	847
513	893	845
514	894	842
515	896	840
516	898	839
517	899	837
518	900	834
519	901	832
520	903	830
521	904	828
522	906	826
523	907	824
524	908	821
525	909	819
526	911	818
527	912	816
528	914	814
529	915	811
530	917	810
531	918	808
532	920	806
533	921	803
534	921	801
535	922	798
536	924	796
537	925	794
538	926	792
539	927	790
540	929	788
541	930	786
542	931	784
543	933	782
544	934	780
545	935	777
546	936	775
547	937	772
548	938	770
549	939	768
550	940	766
551	941	764
552	942	762
553	944	760
554	946	758
555	947	756
556	948	754
557	949	752
558	950	749
559	951	747
560	952	745
561	953	742
562	954	741
563	957	739
564	959	738
565	961	736
566	961	734
567	962	732
568	963	729
569	964	727
570	965	725
571	966	722
572	967	720
573	968	718
574	970	717
575	971	715
576	973	713
577	974	711
578	975	709
579	977	707
580	978	705
581	978	702
582	979	700
583	980	698
584	981	696
585	983	694
586	985	693
587	987	691
588	988	689
589	989	687
590	990	685
591	992	683
592	993	681
593	994	680
594	995	677
595	997	676
596	1000	675
597	1001	673
598	1003	671
599	1005	670
600	1009	670
601	1011	668
602	1014	668
603	1016	666
604	1018	664
605	1019	662
606	1021	661
607	1022	659
608	1024	658
609	1026	656
610	1027	654
611	1029	652
612	1031	650
613	1032	648
614	1033	647
615	1035	645
616	1036	643
617	1037	641
618	1039	639
619	1041	638
620	1043	636
621	1044	634
622	1046	633
623	1048	631
624	1049	629
625	1051	627
626	1052	626
627	1053	623
628	1054	621
629	1055	620
630	1057	618
631	1058	616
632	1059	614
633	1061	613
634	1064	611
635	1065	610
636	1066	607
637	1067	605
638	1069	604
639	1071	602
640	1073	601
641	1074	599
642	1075	597
643	1077	595
644	1078	593
645	1079	591
646	1080	589
647	1082	587
648	1083	585
649	1084	584
650	1086	582
651	1088	580
652	1089	578
653	1090	576
654	1091	574
655	1092	573
656	1094	571
657	1096	569
658	1100	569
659	1103	568
660	1104	566
661	1105	564
662	1107	562
663	1108	560
664	1109	558
665	1110	556
666	1111	554
667	1112	552
668	1115	551
669	1116	550
670	1118	548
671	1119	546
672	1120	544
673	1122	542
674	1123	541
675	1124	539
676	1125	537
677	1126	534
678	1127	532
679	1128	530
680	1129	529
681	1130	527
682	1131	525
683	1132	523
684	1133	521
685	1135	519
686	1137	518
687	1138	516
688	1139	514
689	1139	512
690	1140	510
691	1141	508
692	1143	506
693	1144	504
694	1146	503
695	1147	501
696	1148	499
697	1149	497
698	1150	495
699	1151	493
700	1152	491
701	1153	489
702	1154	487
703	1154	485
704	1155	483
705	1156	481
706	1157	479
707	1159	478
708	1161	476
709	1162	474
710	1163	473
711	1164	471
712	1165	469
713	1165	467
714	1166	464
715	1167	462
716	1167	460
717	1168	458
718	1169	456
719	1170	455
720	1171	453
721	1173	451
722	1175	450
723	1176	448
724	1177	446
725	1178	444
726	1178	442
727	1179	440
728	1180	438
729	1181	436
730	1181	434
731	1182	433
732	1183	431
733	1184	429
734	1186	427
735	1189	426
736	1192	425
737	1193	423
738	1194	421
739	1194	419
740	1195	417
741	1196	416
742	1197	414
743	1199	412
744	1203	412
745	1204	410
746	1205	408
747	1206	406
748	1207	404
749	1208	402
750	1209	400
751	1210	399
752	1211	397
753	1213	395
754	1215	394
755	1216	392
756	1218	391
757	1219	389
758	1219	387
759	1220	385
760	1222	383
761	1223	382
762	1224	380
763	1225	378
764	1226	376
765	1227	374
766	1228	373
767	1229	371
768	1230	369
769	1231	367
770	1232	366
771	1234	364
772	1235	362
773	1236	361
774	1237	359
775	1238	357
776	1239	355
777	1240	353
778	1240	352
779	1241	350
780	1242	348
781	1243	346
782	1244	344
783	1247	343
784	1249	342
785	1250	340
786	1251	338
787	1251	336
788	1253	335
789	1254	333
790	1256	331
791	1257	330
792	1258	328
793	1260	327
794	1262	325
795	1264	323
796	1265	322
797	1266	320
798	1267	318
799	1269	317
800	1270	315
801	1271	313
802	1271	312
803	1273	310
804	1274	308
805	1277	307
806	1278	305
807	1279	304
808	1281	302
809	1281	300
810	1282	298
811	1283	297
812	1284	295
813	1284	293
814	1285	291
815	1286	290
816	1288	288
817	1290	287
818	1292	285
819	1293	284
820	1294	282
821	1295	280
822	1296	278
823	1296	276
824	1297	275
825	1298	273
826	1299	271
827	1301	270
828	1302	268
829	1305	267
830	1306	265
831	1307	263
832	1308	262
833	1308	260
834	1309	258
835	1310	257
836	1311	255
837	1312	253
838	1313	251
839	1313	250
840	1314	248
841	1314	246
842	1315	245
843	1316	243
844	1316	241
845	1318	239
846	1319	238
847	1320	236
848	1321	235
849	1323	233
850	1324	231
851	1325	230
852	1327	228
853	1328	227
854	1329	225
855	1330	223
856	1330	222
857	1331	220
858	1332	218
859	1334	217
860	1337	215
861	1338	214
862	1340	212
863	1341	211
864	1341	209
865	1342	207
866	1343	206
867	1343	204
868	1344	202
869	1345	201
870	1346	199
871	1347	197
872	1349	196
873	1352	195
874	1353	193
875	1355	191
876	1355	190
877	1356	188
878	1357	186
879	1357	185
880	1358	183
881	1359	181
882	1360	180
883	1361	178
884	1363	177
885	1364	175
886	1366	174
887	1367	172
888	1368	170
889	1368	169
890	1369	167
891	1370	165
892	1371	164
893	1372	162
894	1374	161
895	1375	159
896	1376	158
897	1378	156
898	1380	155
899	1381	153
900	1382	151
901	1383	150
902	1384	148
903	1385	147
904	1386	145
905	1387	143
906	1388	142
907	1389	140
908	1390	139
909	1391	137
910	1392	136
911	1393	134
912	1394	132
913	1395	131
914	1396	129
915	1398	128
916	1399	126
917	1400	125
918	1401	123
919	1403	122
920	1403	120
921	1404	118
922	1405	117
923	1406	115
924	1408	114
925	1410	112
926	1412	111
927	1413	109
928	1414	108
929	1415	106
930	1415	104
931	1416	103
932	1417	101
933	1417	100
934	1418	98
935	1419	97
936	1422	95
937	1423	94
938	1425	92
939	1426	91
940	1427	89
941	1427	87
942	1428	86
943	1429	84
944	1429	83
945	1430	81
946	1431	80
947	1431	78
948	1432	76
949	1433	75
950	1434	73
951	1435	72
952	1436	70
953	1438	69
954	1439	67
955	1440	66
956	1441	64
957	1442	63
958	1443	61
959	1444	60
960	1445	58
961	1446	57
962	1447	55
963	1448	54
964	1448	52
965	1449	51
966	1451	49
967	1453	48
968	1455	46
969	1456	45
970	1457	43
971	1458	42
972	1458	40
973	1459	38
974	1460	37
975	1461	35
976	1461	34
977	1462	32
978	1464	31
979	1479	30
980	1480	28
981	1480	27
982	1482	25
983	1484	24
984	1486	22
985	1487	21
986	1488	19
987	1489	18
988	1490	16
989	1491	15
990	1492	13
991	1492	12
992	1493	10
993	1494	9
994	1497	7
995	1500	6
996	1501	4
997	1502	3
998	1502	1
999	1503	0
